uuid,weight,age,gender,sports,height,habits,mealtype,disliked_ingredients,allergies,bmr,recipe_id
c4e491f0-bc87-4e44-b3cb-8ccf295b2877,82,22,male,active,178,halal,lunch,eggs,dairy,1916.2440000000004,213461
48766c3d-5049-43dc-b117-563a791628e7,56,52,female,sedentary,156,halal,lunch,sugar,dairy,1223.553,125366
780b2ee4-c02c-48b1-a3b0-11334af5383b,70,22,male,active,180,halal,lunch,milk,gluten,1765.0780000000002,218140
83cdcdb3-64be-4233-8bc6-e0c980790e1b,56,22,female,active,160,vegan,lunch,milk,gluten,1365.845,222655
9ee0465a-fe37-4818-9cf4-cfaa0aca8fae,56,22,female,active,160,vegan,dinner,milk,dairy,1365.845,219118
6fa68542-ab43-4ee6-94cd-1d7624e7005f,56,22,male,active,168,halal,lunch,milk,dairy,1519.932,213461
d8373fa6-6546-42e1-bdb0-00aa3125ec98,2,22,female,active,0,vegan,dinner,milk,dairy,370.827,246715
26a0c80b-3e65-48a6-8452-65bc256c496c,56,22,female,active,160,vegan,dinner,milk,dairy,1365.845,219118
687f95f9-e12c-4522-b2dd-48e03f84e2b2,2,22,female,active,0,halal,lunch,milk,dairy,370.827,246715
cee56305-fc93-4703-8ef5-260b543d2016,82,22,male,highly active,178,halal,dinner,milk,dairy,1916.2440000000004,213461
e5cc1385-b085-444e-87da-f311e8bdcdb0,4,1,female,active,1,halal,dinner,milk,dairy,483.3490000000001,47872
1c72021e-1b4c-440a-a812-1cf4fe21b03f,0,2,female,active,0,halal,lunch,milk,dairy,438.933,246715
bfa3c92e-fa1e-41ac-b4b8-46b79cf51525,120,22,female,active,258,halal,dinner,milk,dairy,2261.257,219611
0394cb2f-00e0-4bf4-ba56-a862b29a7a74,56,22,female,active,160,halal,lunch,eggs,gluten,1365.845,222655
95527a70-45b2-45e0-b019-3251ecfcecd7,56,22,female,active,160,halal,lunch,milk,dairy,1365.845,219118
1e5766d1-3546-4618-83db-985bf5361dd6,56,22,female,highly active,160,vegan,lunch,milk,dairy,1365.845,213461
c15c98f1-2aeb-4ebb-a740-0abe90acba1b,86,22,male,highly active,178,halal,lunch,milk,dairy,1969.832,219611
3841bf1e-ad68-43b9-8c8b-bd846153e24c,56,22,female,highly active,160,halal,lunch,eggs,dairy,1365.845,213461
31c3b2ed-acc2-4ef8-b30b-bc59c0083a6b,50,22,female,highly active,160,halal,dinner,eggs,dairy,1310.363,219118
b166ac9a-e00e-4c5b-8d8a-72d370b55b65,53,22,female,active,160,"['halal', 'vegan']",dinner,milk,dairy,1338.104,219118
e241426d-0850-4265-91ff-1e96a710f12e,53,22,female,active,160,['halal'],lunch,"milk,  eggs","gluten, dairy, peanut, shellfish",1338.104,219118
9b95c5a8-2a66-48fe-8b1c-ac250da55669,53,22,female,active,160,['halal'],lunch,milk,peanut,1338.104,222655
80a2f434-f509-45f0-b85d-4de55d7c483d,56,22,female,active,160,['halal'],dinner,milk,dairy,1365.845,219118
0c3ab1bd-41b4-4513-ab9d-4d944597a6ed,52,22,female,active,16,['vegan'],lunch,milk,dairy,882.745,229664
e34f18b9-ed21-4589-881c-91056098bff6,53,22,female,active,160,['halal'],dinner,milk,peanut,1338.104,222655
6c7c4ae1-8300-4720-bb24-7401588da839,56,22,female,active,160,['halal'],lunch,milk,gluten,1365.845,222655
c87164ba-72a9-4b9d-a762-b64efd124572,53,22,female,active,160,['halal'],lunch,fries,gluten,1338.104,222655
74bd8b43-ddcc-4fb6-8273-898bfddfcb37,53,22,female,active,160,['halal'],lunch,milk,dairy,1338.104,219118
211498c1-f174-49ff-8d4d-8f2b8941bbee,56,22,female,active,160,['halal'],lunch,milk,gluten,1365.845,222655
48c46e23-e247-4681-b8b1-819228a4afef,53,22,female,active,160,['vegan'],dinner,milk,gluten,1338.104,222655
6ae8a0f9-349c-40e7-a8fc-cf8cb28105c3,53,22,female,active,160,['vegan'],lunch,milk,gluten,1338.104,222655
c80fbd17-c578-4ccd-88d3-fac6f665c09f,52,22,female,active,160,['halal'],dinner,milk,gluten,1328.857,222655
1d360591-4368-4e04-b389-7377f725a8ae,53,22,female,active,160,['halal'],dinner,milk,gluten,1338.104,222655
d0cf5e8b-6023-4690-b80b-3c7b4498e940,52,22,female,active,160,['vegan'],dinner,milk,dairy,1328.857,219118
90e76bd8-cc3d-4f69-9133-3310312f13eb,86,58,male,highly active,198,['halal'],lunch,merguez,dairy,1861.44,213461
17021c38-db56-4028-80e8-4d1ddca7ff54,100,35,male,active,190,['halal'],dinner,goat,gluten,2141.177,218140
505dd311-5af9-4dc1-aecf-3062b80673be,82,22,male,active,178,['halal'],dinner,milk,dairy,1916.2440000000004,213461
2443cc42-1d94-4555-9823-a9e82f4c18b1,56,22,male,active,174,['halal'],dinner,milk,dairy,1548.726,213461
53fb3923-569d-49c1-862c-51c4670d9fc6,56,22,female,active,160,['vegan'],lunch,milk,dairy,1365.845,219118
1a4bbcdb-1b73-467a-907c-a3887c8fcff2,53,52,male,active,185,['vegan'],dinner,milk,dairy,1391.014,219118
91bc3fe5-0eb8-44fb-9393-1c130fae6c1b,58,22,female,active,18,['vegan'],dinner,rice,dairy,944.423,229664
e0e44938-58fe-423b-a981-4243223e5f98,56,22,female,active,180,['kosher'],dinner,rice,dairy,1427.805,219118
646004db-6cf1-478c-a030-f42632b816f3,56,22,male,active,160,['halal'],lunch,milk,dairy,1481.54,219118
